HS부호,적용시작일자,적용종료일자,한글품목명,영문품목명,한국표준무역분류명,수량단위최대단가,중량단위최대단가,수량단위코드,중량단위코드,수출성질코드,수입성질코드,품목규격명,필수규격명,참고규격명,규격설명,규격사항내용,성질통합분류코드,성질통합분류코드명
2918231000,2022-01-01,2022-12-31,그 밖의 살리실산의 에스테르,Other esters of salicylic acid,,,,,KG,41301,26901,,,,,,25030201,(유기화합물)
2918232000,2013-01-01,2022-12-31,그 밖의 살리실산에스테르의 염,Salts of other esters of salicylic acid,,,,,KG,41301,26901,,,,,,25030201,(유기화합물)
2918291000,2002-01-01,2022-12-31,베타옥시나프토산과 그 염,β-oxynaphthoic acid and its salts,,,,,KG,41301,26901,,,,,,25030201,(유기화합물)
29182990,2016-01-01,2022-12-31,기타,Other,,,,,,,,,,,,,,
2918299010,2002-01-01,2022-12-31,갈산,Gallic acid,,,,,KG,41301,26901,,,,,,25030201,(유기화합물)
2918299030,2002-01-01,2022-12-31,파라히드록시 벤조산,Parahydroxybenzoic acid,,,,,KG,41301,26901,,,,,,25030201,(유기화합물)
2918299090,2002-01-01,2022-12-31,기타,Other,,,,,KG,41301,26901,,,,,,25030201,(유기화합물)
2918301000,2017-01-01,2022-12-31,농약원제(農藥原劑)( 농약관리법 에 따라 등록된 것으로 한정한다),Material for manufacturing agricultural chemicals (registered material under the Agricultural Chemicals Management Act),,0,0,,KG,41301,26901,,,,,,25020501,(농약)
2918309000,2007-01-01,2022-12-31,기타,Other,,,,,KG,41301,26901,,,,,,25030201,(유기화합물)
2918910000,2013-01-01,2022-12-31,"2,4,5-티(ISO)(2,4,5-트리클로로페녹시아세트산), 그 염과 에스테르","2,4,5-T (ISO) (2,4,5-trichlorophenoxyacetic acid), its salts and esters",,,,,KG,41301,26901,,,,,,25030201,(유기화합물)
2918991000,2017-01-01,2022-12-31,농약원제(農藥原劑)( 농약관리법 에 따라 등록된 것으로 한정한다),Material for manufacturing agricultural chemicals (registered material under the Agricultural Chemicals Management Act),,0,0,,KG,41301,26901,,,,,,25020501,(농약)
2918999000,2007-01-01,2022-12-31,기타,Other,,,,,KG,41301,26901,,,,,,25030201,(유기화합물)
2919100000,2007-01-01,2022-12-31,"트리스(2,3-디브로모프로필) 포스페이트","Tris(2,3-dibromopropyl) phosphate",,,,,KG,41301,26901,,,,,,25030201,(유기화합물)
29199010,2016-01-01,2022-12-31,인산에스테르,Phosphoric esters,,,,,,,,,,,,,,
2919901010,2022-01-01,2022-12-31,농약원제(農藥原劑)( 농약관리법 에 따라 등록된 것으로 한정한다),Material for manufacturing agricultural chemicals (registered material under the Agricultural Chemicals Management Act),,,,,KG,41301,26901,,,,,,25020501,(농약)
2919901090,2007-01-01,2022-12-31,기타,Other,,,,,KG,41301,26901,,,,,,25030201,(유기화합물)
2919902000,2007-01-01,2022-12-31,인산에스테르의 염,Salts of phosphoric esters,,,,,KG,41301,26901,,,,,,25030201,(유기화합물)
2919909000,2007-01-01,2022-12-31,기타,Other,,,,,KG,41301,26901,,,,,,25030201,(유기화합물)
2920111000,2017-01-01,2022-12-31,농약원제(農藥原劑)( 농약관리법 에 따라 등록된 것으로 한정한다),Material for manufacturing agricultural chemicals (registered material under the Agricultural Chemicals Management Act),,0,0,,KG,41301,26901,,,,,,25020501,(농약)
2920119000,2007-01-01,2022-12-31,기타,Other,,,,,KG,41301,26901,,,,,,25030201,(유기화합물)
2920191000,2017-01-01,2022-12-31,농약원제(農藥原劑)( 농약관리법 에 따라 등록된 것으로 한정한다),Material for manufacturing agricultural chemicals (registered material under the Agricultural Chemicals Management Act),,0,0,,KG,41301,26901,,,,,,25020501,(농약)
2920199000,2017-01-01,2022-12-31,기타,Other,,0,0,,KG,41301,26901,,,,,,25030201,(유기화합물)
2920210000,2017-01-01,2022-12-31,디메틸 포스파이트,Dimethyl phosphite,,0,0,,KG,41301,26901,,,,,,25030201,(유기화합물)
2920220000,2017-01-01,2022-12-31,디에틸 포스파이트,Diethyl phosphite,,0,0,,KG,41301,26901,,,,,,25030201,(유기화합물)
2920230000,2017-01-01,2022-12-31,트리메틸 포스파이트,Trimethyl phosphite,,0,0,,KG,41301,26901,,,,,,25030201,(유기화합물)
2920240000,2017-01-01,2022-12-31,트리에틸 포스파이트,Triethyl phosphite,,0,0,,KG,41301,26901,,,,,,25030201,(유기화합물)
2920290000,2017-01-01,2022-12-31,기타,Other,,0,0,,KG,41301,26901,,,,,,25030201,(유기화합물)
2920301000,2017-01-01,2022-12-31,농약원제(農藥原劑)( 농약관리법 에 따라 등록된 것으로 한정한다),Material for manufacturing agricultural chemicals (registered material under the Agricultural Chemicals Management Act),,0,0,,KG,41301,26901,,,,,,25020501,(농약)
2920309000,2017-01-01,2022-12-31,기타,Other,,0,0,,KG,41301,26901,,,,,,25030201,(유기화합물)
2920904000,2022-01-01,2022-12-31,농약원제(農藥原劑)( 농약관리법 에 따라 등록된 것으로 한정한다),Material for manufacturing agricultural chemicals (registered material under the Agricultural Chemicals Management Act),,,,,KG,41301,26901,,,,,,25020501,(농약)
2920909,2022-01-01,2022-12-31,기타,Other,,,,,,,,,,,,,,
29209091,2022-01-01,2022-12-31,황산에스테르의 것,Of sulphuric esters,,,,,,,,,,,,,,
2920909110,2022-01-01,2022-12-31,황산디메틸,Dimethyl sulfate,,,,,KG,41301,26901,,,,,,25030201,(유기화합물)
2920909190,2022-01-01,2022-12-31,기타,Other,,,,,KG,41301,26901,,,,,,25030201,(유기화합물)
2920909200,2022-01-01,2022-12-31,탄산에스테르의 것,Of carbonic esters,,,,,KG,41301,26901,,,,,,25030201,(유기화합물)
